Report generated on: 04-05-2021 09:46:16,,
API,,2018
,World,
INTL.2-12-WORL-BKWH.A,    Generation (billion kWh),25398.00885187
INTL.2-2-WORL-BKWH.A,    Consumption (billion kWh),23398.401108242
,Afghanistan,
INTL.2-12-AFG-BKWH.A,    Generation (billion kWh),1.115
INTL.2-2-AFG-BKWH.A,    Consumption (billion kWh),6.02295
,Albania,
INTL.2-12-ALB-BKWH.A,    Generation (billion kWh),8.46748
INTL.2-2-ALB-BKWH.A,    Consumption (billion kWh),4.84948
,Algeria,
INTL.2-12-DZA-BKWH.A,    Generation (billion kWh),72.05703
INTL.2-2-DZA-BKWH.A,    Consumption (billion kWh),62.06203
,American Samoa,
INTL.2-12-ASM-BKWH.A,    Generation (billion kWh),0.163
INTL.2-2-ASM-BKWH.A,    Consumption (billion kWh),0.15159
,Angola,
INTL.2-12-AGO-BKWH.A,    Generation (billion kWh),11.6856
INTL.2-2-AGO-BKWH.A,    Consumption (billion kWh),10.3636
,Antarctica,
INTL.2-12-ATA-BKWH.A,    Generation (billion kWh),0
INTL.2-2-ATA-BKWH.A,    Consumption (billion kWh),0
,Antigua and Barbuda,
INTL.2-12-ATG-BKWH.A,    Generation (billion kWh),0.338073
INTL.2-2-ATG-BKWH.A,    Consumption (billion kWh),0.31440789
,Argentina,
INTL.2-12-ARG-BKWH.A,    Generation (billion kWh),139.14409
INTL.2-2-ARG-BKWH.A,    Consumption (billion kWh),125.03009
,Armenia,
INTL.2-12-ARM-BKWH.A,    Generation (billion kWh),7.38726
INTL.2-2-ARM-BKWH.A,    Consumption (billion kWh),5.35326
,Aruba,
INTL.2-12-ABW-BKWH.A,    Generation (billion kWh),0.966712
INTL.2-2-ABW-BKWH.A,    Consumption (billion kWh),0.89904216
,Australia,
INTL.2-12-AUS-BKWH.A,    Generation (billion kWh),247.69404
INTL.2-2-AUS-BKWH.A,    Consumption (billion kWh),234.27804
,Austria,
INTL.2-12-AUT-BKWH.A,    Generation (billion kWh),60.30886
INTL.2-2-AUT-BKWH.A,    Consumption (billion kWh),65.796826
,Azerbaijan,
INTL.2-12-AZE-BKWH.A,    Generation (billion kWh),23.81938
INTL.2-2-AZE-BKWH.A,    Consumption (billion kWh),20.28578
,Bahrain,
